case,d,k,nu,K_scale,draws,effective_sample_size,stationarity_mean,stationarity_asymptotic_se,observed_regularized_moment,proved_moment_upper_bound,observed_over_bound
0,8,1,0,2,10000,10000.000000000033,0.004812991176637858,0.005700601858540458,0.05736152642402777,0.16666666666666666,0.34416915854416663
1,8,1,5,1,10000,9440.26604155391,0.0032960403048473575,0.002981835851892775,0.03133564854064572,0.3055555555555556,0.10255303158756782
2,12,2,8,2,10000,6911.303100566333,7.802497040482496e-05,0.0032705688576427127,0.02890410179836068,0.4,0.0722602544959017
3,10,3,10,3,10000,2845.2169370392444,0.0025049261484843596,0.004335821931489182,0.04014472527169598,0.8846153846153846,0.04538099378539545
4,20,2,30,0.3,10000,7842.90805437132,-0.0005434531673058555,0.0059983257222658536,0.030989301517700796,0.22794117647058823,0.1359530647228164
5,16,3,4,10,10000,7406.571035251862,0.002715301684149748,0.0017583061912951042,0.014058809249561002,0.39285714285714285,0.03578605990797346
