b,m,seed,gap_b,max_observed_column_bound_ratio,matrix_inverse_residual
1,2,9100,0.5,0.4,1.7716089650451445e-16
1,2,9101,0.5,0.4,6.402561593950277e-16
1,2,9102,0.5,0.4,7.152246708340957e-16
1,2,9103,0.5,0.39999999999999997,1.2937882041164874e-15
1,2,9104,0.5,0.4,3.3645204171752187e-16
1,2,9105,0.5,0.4,2.41167376809814e-16
1,2,9106,0.5,0.4,6.588861714477726e-17
1,2,9107,0.5,0.3999999999999999,6.601025202222043e-16
1,2,9108,0.5,0.39999999999999997,1.5226564558793423e-14
1,2,9109,0.5,0.39999999999999997,1.866678030880982e-15
2,4,9200,0.33333333333333326,0.254656283413718,4.8666194345405835e-15
2,4,9201,0.33333333333333326,0.29398730143691076,1.5020096548190288e-15
2,4,9202,0.33333333333333326,0.2577724591996803,8.500819380771048e-16
2,4,9203,0.33333333333333326,0.08817251766375306,2.9173827699527322e-15
2,4,9204,0.33333333333333326,0.24071464114375327,9.15247252275656e-16
2,4,9205,0.33333333333333326,0.1146687524667896,2.1025357507717695e-15
2,4,9206,0.33333333333333326,0.22360403891879416,7.739457499077163e-13
2,4,9207,0.33333333333333326,0.07221827010822048,6.833885301019475e-15
2,4,9208,0.33333333333333326,0.5138122716462759,1.7295755176932805e-13
2,4,9209,0.33333333333333326,0.043056435816401256,2.0732437077815364e-15
4,8,9400,0.2857142857142857,0.10289309103949712,3.701192973305332e-14
4,8,9401,0.2857142857142857,0.1274114430232193,7.0935315374433425e-15
4,8,9402,0.2857142857142857,0.2736468354291439,2.07721634995249e-14
4,8,9403,0.2857142857142857,0.16077456908752827,1.4823455204104738e-13
4,8,9404,0.2857142857142857,0.13872556237401024,3.3050595559692992e-15
4,8,9405,0.2857142857142857,0.21975964860794894,3.602050593195885e-15
4,8,9406,0.2857142857142857,0.17622339697138983,1.4746926031404917e-13
4,8,9407,0.2857142857142857,0.057741435748523424,3.287689720474753e-14
4,8,9408,0.2857142857142857,0.1564281259312027,1.1046891228784639e-14
4,8,9409,0.2857142857142857,0.18819243952709924,1.427361794869392e-14
8,16,9800,0.2666666666666666,0.06746997485133893,4.101036562753369e-14
8,16,9801,0.2666666666666666,0.07077531784284946,2.134708958365472e-14
8,16,9802,0.2666666666666666,0.09689275428097939,2.8442310515294795e-14
8,16,9803,0.2666666666666666,0.12615362322246707,3.3673482195629977e-14
8,16,9804,0.2666666666666666,0.08039868040375653,6.303433867707854e-13
8,16,9805,0.2666666666666666,0.11213882976237126,1.756171572855985e-13
8,16,9806,0.2666666666666666,0.10081426051155014,6.064138772806652e-14
8,16,9807,0.2666666666666666,0.05258235564775323,5.999402361410888e-14
8,16,9808,0.2666666666666666,0.06842039261482152,9.627936252523108e-14
8,16,9809,0.2666666666666666,0.0717232353695632,2.0109388076957583e-14
16,32,10600,0.25806451612903225,0.04021372775237359,2.9354421644310903e-13
16,32,10601,0.25806451612903225,0.05094629144537885,1.1203692476312827e-13
16,32,10602,0.25806451612903225,0.031399176816906085,6.498505837238514e-14
16,32,10603,0.25806451612903225,0.07016133774190678,1.514873775576047e-13
16,32,10604,0.25806451612903225,0.056647808285642795,4.3294515179105395e-13
16,32,10605,0.25806451612903225,0.040433293496389244,7.848664633134405e-14
16,32,10606,0.25806451612903225,0.04346275418068747,1.5181856375194145e-13
16,32,10607,0.25806451612903225,0.05031974149931178,5.019189106950237e-14
16,32,10608,0.25806451612903225,0.05150327086750201,4.65408620289975e-14
16,32,10609,0.25806451612903225,0.05673949366265212,5.514987591190493e-14
