n,k,nu,strategy,t,runs,mean_potential,sample_standard_error,expectation_upper_bound,mean_over_bound
48,1,2,random,0,8,0.0,0.0,0.0,0.0
48,1,2,random,1,8,0.018619077704212908,0.005906166278251673,0.16666666666666666,0.11171446622527745
48,1,2,random,2,8,0.04164205777905679,0.011082190956211345,0.3333333333333333,0.12492617333717036
48,1,2,random,3,8,0.0646119235056921,0.017553534669685355,0.5,0.1292238470113842
48,1,2,random,4,8,0.09982163163612956,0.019948722234360457,0.6666666666666666,0.14973244745419434
48,1,2,random,5,8,0.17910517576470103,0.03800512907858873,0.8333333333333334,0.21492621091764122
48,1,2,random,6,8,0.20857407038698023,0.04164391475699168,1.0,0.20857407038698023
48,1,2,random,7,8,0.2779439412224044,0.05258690078937673,1.1666666666666667,0.23823766390491805
48,1,2,random,8,8,0.2953138353865297,0.05142357257408664,1.3333333333333333,0.2214853765398973
48,1,2,random,9,8,0.3243138269114511,0.04862291610656192,1.5,0.2162092179409674
48,1,2,random,10,8,0.34290823442507,0.04912553475441177,1.6666666666666667,0.205744940655042
48,1,2,random,11,8,0.3877169846168602,0.04919833735730179,1.8333333333333333,0.21148199160919648
48,1,2,random,12,8,0.3993976118422742,0.04962200156931094,2.0,0.1996988059211371
48,1,2,krylov,0,8,0.0,0.0,0.0,0.0
48,1,2,krylov,1,8,0.032859121829275986,0.009922839223610522,0.16666666666666666,0.19715473097565592
48,1,2,krylov,2,8,0.06351427304854906,0.017339198874974638,0.3333333333333333,0.1905428191456472
48,1,2,krylov,3,8,0.09632968160245184,0.02592436273754732,0.5,0.19265936320490368
48,1,2,krylov,4,8,0.13456282270575354,0.03834155488716726,0.6666666666666666,0.2018442340586303
48,1,2,krylov,5,8,0.1732769500384917,0.049824116555272274,0.8333333333333334,0.20793234004619002
48,1,2,krylov,6,8,0.21952968516302296,0.062186823383351124,1.0,0.21952968516302296
48,1,2,krylov,7,8,0.25987713498901244,0.07140011173506482,1.1666666666666667,0.22275182999058207
48,1,2,krylov,8,8,0.3006506078234159,0.08037988661669046,1.3333333333333333,0.22548795586756193
48,1,2,krylov,9,8,0.3378381986106238,0.08693437732293237,1.5,0.22522546574041588
48,1,2,krylov,10,8,0.3745702989397429,0.09064194530861801,1.6666666666666667,0.22474217936384575
48,1,2,krylov,11,8,0.4120578411421887,0.09369166350260855,1.8333333333333333,0.22475882244119383
48,1,2,krylov,12,8,0.4571700008240001,0.09863994039774593,2.0,0.22858500041200006
48,1,2,reply_null,0,8,0.0,0.0,0.0,0.0
48,1,2,reply_null,1,8,0.03467252853366326,0.014465085136245136,0.16666666666666666,0.20803517120197956
48,1,2,reply_null,2,8,0.10275870095769236,0.05478320692159028,0.3333333333333333,0.3082761028730771
48,1,2,reply_null,3,8,0.11955480741233707,0.05373405098978245,0.5,0.23910961482467413
48,1,2,reply_null,4,8,0.17215700993109884,0.05597148166798066,0.6666666666666666,0.25823551489664825
48,1,2,reply_null,5,8,0.22452216252666227,0.05211721244860768,0.8333333333333334,0.26942659503199473
48,1,2,reply_null,6,8,0.2524584211302858,0.0524152324809794,1.0,0.2524584211302858
48,1,2,reply_null,7,8,0.2638118485971844,0.05422906294265233,1.1666666666666667,0.22612444165472945
48,1,2,reply_null,8,8,0.30208867719369625,0.05280250242317623,1.3333333333333333,0.2265665078952722
48,1,2,reply_null,9,8,0.3239989241673758,0.05052118558246425,1.5,0.21599928277825053
48,1,2,reply_null,10,8,0.34643703221380817,0.04927835572522518,1.6666666666666667,0.2078622193282849
48,1,2,reply_null,11,8,0.376882754549568,0.05430938405526126,1.8333333333333333,0.20557241157249165
48,1,2,reply_null,12,8,0.4236889129438584,0.050065027632207416,2.0,0.2118444564719292
48,1,8,random,0,8,0.0,0.0,0.0,0.0
48,1,8,random,1,8,0.31518646877989154,0.10624910697205814,0.6666666666666666,0.4727797031698373
48,1,8,random,2,8,0.47833594095741877,0.09897964589768003,1.3333333333333333,0.3587519557180641
48,1,8,random,3,8,0.5577809276370367,0.08689855108881166,2.0,0.27889046381851834
48,1,8,random,4,8,0.6590952650666888,0.12283143842718562,2.6666666666666665,0.2471607244000083
48,1,8,random,5,8,0.6997575922293029,0.11950703150707144,3.3333333333333335,0.20992727766879085
