case,trial,warm_ratio,final_ratio,surrogate_ratio,queries,exceeds_requested_factor
rank_one_distractors,0,4.097002807073335,1.0,1.4179991501197018,27,False
rank_one_distractors,1,4.109912240561439,1.0,1.2771039182383903,27,False
rank_one_distractors,2,4.124185573837454,1.0,1.333246011993076,27,False
rank_one_distractors,3,4.145648618046851,1.0,1.3297266797573255,27,False
rank_one_distractors,4,4.087392059894564,1.0,1.3613606136614766,27,False
rank_one_distractors,5,4.139936042176112,1.0,1.2384385001970297,27,False
rank_one_distractors,6,4.102660588124563,1.0,1.5284294640633034,27,False
rank_one_distractors,7,4.110422730962543,1.0,1.5092397162434297,27,False
rank_one_distractors,8,4.137571949306809,1.0,1.3461559745860767,27,False
rank_one_distractors,9,4.117103021206497,1.0,1.504692263324214,27,False
rank_one_distractors,10,4.139672309939781,1.0,1.3532220739363112,27,False
rank_one_distractors,11,4.10880801345967,1.0,1.2427188870511885,27,False
rank_one_distractors,12,4.13645290340761,1.0,1.3262264682363367,27,False
rank_one_distractors,13,4.125375243981457,1.0,1.3951732686865876,27,False
rank_one_distractors,14,4.116600170592272,1.0,1.500447048969928,27,False
rank_one_distractors,15,4.145141865835509,1.0,1.2100414203848098,27,False
rank_one_distractors,16,4.106578840769038,1.0,1.6572763448142127,27,False
rank_one_distractors,17,4.128091923519889,1.0,1.2875020271806414,27,False
rank_one_distractors,18,4.128126880778495,1.0,1.4854665361128858,27,False
rank_one_distractors,19,4.137796988479691,1.0,1.3865655476578296,27,False
rank_one_distractors,20,1.0,1.0,1.3139266140687058,27,False
rank_one_distractors,21,1.0,1.0,1.308624372454428,27,False
rank_one_distractors,22,4.117566009399066,1.0,1.2764784437183236,27,False
rank_one_distractors,23,4.10964999364286,1.0,1.423763921514923,27,False
rank_one_distractors,24,4.104277187358973,1.0,1.337557591909127,27,False
rank_one_distractors,25,4.113277662411369,1.0,1.557786528222336,27,False
rank_one_distractors,26,4.137571949306809,1.0,1.355091074629227,27,False
rank_one_distractors,27,4.132621122734544,1.0,1.3580961594385563,27,False
rank_one_distractors,28,4.124625779128229,1.0,1.423711538719708,27,False
rank_one_distractors,29,4.098308703687238,1.0,1.2364304540247053,27,False
rank_one_distractors,30,4.129771938985706,1.0,1.2837183046425875,27,False
rank_one_distractors,31,4.1018702637775615,1.0,1.2300443733447814,27,False
rank_one_distractors,32,4.124652818724653,1.0,1.227729403731786,27,False
rank_one_distractors,33,4.112405300765578,1.0,1.3326332935134733,27,False
rank_one_distractors,34,4.104277187358973,1.0,1.2416416968160688,27,False
rank_one_distractors,35,4.133736682554194,1.0,1.292766977145687,27,False
rank_one_distractors,36,4.13645290340761,1.0,1.2750454633920218,27,False
rank_one_distractors,37,4.139408323788655,1.0,1.2158322628623697,27,False
rank_one_distractors,38,4.132251643890626,1.0,1.353493193251693,27,False
rank_one_distractors,39,4.116600170592272,1.0,1.336422362916652,27,False
rank_one_distractors,40,4.139672309939781,1.0,1.2303370450429294,27,False
rank_one_distractors,41,4.105414511550925,1.0,1.5081176292271712,27,False
rank_one_distractors,42,4.10964999364286,1.0,1.2095755341289727,27,False
rank_one_distractors,43,4.111516966587589,1.0,1.2153211319358435,27,False
rank_one_distractors,44,4.117197350603347,1.0,1.4152929959817286,27,False
rank_one_distractors,45,4.111941762498847,1.0,1.3178387520347643,27,False
rank_one_distractors,46,4.108275291264167,1.0,1.1753907638163261,27,False
rank_one_distractors,47,4.109912240561439,1.0,1.2969551288309258,27,False
rank_one_distractors,48,4.118589960186446,1.0,1.2745817232430554,27,False
rank_one_distractors,49,4.129156012189551,1.0,1.4703989167036433,27,False
rank_one_distractors,50,4.133971131739549,1.0,1.2406489305498867,27,False
rank_one_distractors,51,4.132621122734544,1.0,1.3034668569010415,27,False
rank_one_distractors,52,4.111941762498847,1.0,1.3462744940949163,27,False
rank_one_distractors,53,4.102660588124563,1.0,1.4607559507251449,27,False
rank_one_distractors,54,4.105273057100752,1.0,1.3541003132898835,27,False
rank_one_distractors,55,4.116621459466084,1.0,1.341149861192078,27,False
rank_one_distractors,56,4.125463195864943,1.0,1.3406044598994993,27,False
rank_one_distractors,57,4.128556416355411,1.0,1.388544594748059,27,False
rank_one_distractors,58,4.125375243981457,1.0,1.3075990813471627,27,False
rank_one_distractors,59,4.116600170592272,1.0,1.3057926607792147,27,False
rank_one_distractors,60,4.1244249113456135,1.0,1.4162565106465232,27,False
rank_one_distractors,61,4.100679616419883,1.0,1.4658406407056241,27,False
rank_one_distractors,62,4.13645290340761,1.0,1.2219124684871123,27,False
rank_one_distractors,63,4.087102456886437,1.0,1.3432039342874607,27,False
rank_one_distractors,64,4.12892008900278,1.0,1.3170587000690361,27,False
rank_one_distractors,65,4.127339109532665,1.0,1.3485865626136897,27,False
rank_one_distractors,66,4.112741331821868,1.0,1.5408493151990155,27,False
rank_one_distractors,67,4.121477857779975,1.0,1.3251177867953903,27,False
rank_one_distractors,68,4.1279167866679805,1.0,1.8229774129087244,27,False
rank_one_distractors,69,4.121126567091705,1.0,1.2829237789332033,27,False
rank_one_distractors,70,4.100679616419883,1.0,1.4855266329478798,27,False
rank_one_distractors,71,1.0,1.0,1.2621108736212734,27,False
rank_one_distractors,72,4.10880801345967,1.0,1.3836804829021774,27,False
rank_one_distractors,73,4.139280693388165,1.0,1.5555428806208622,27,False
rank_one_distractors,74,4.102660588124563,1.0,1.4138509678562452,27,False
rank_one_distractors,75,1.0,1.0,1.173473763405173,27,False
rank_one_distractors,76,4.12624052018836,1.0,1.2942809913203819,27,False
rank_one_distractors,77,1.0,1.0,1.2678795272300891,27,False
rank_one_distractors,78,1.0,1.0,1.2095485875301577,27,False
rank_one_distractors,79,4.134444865910792,1.0,1.4101535114266417,27,False
rank_one_distractors,80,4.106242013581592,1.0,1.4158119599017773,27,False
rank_one_distractors,81,4.133971131739549,1.0,1.3463052140921918,27,False
rank_one_distractors,82,4.1253056882885915,1.0,1.2743285233725976,27,False
rank_one_distractors,83,4.133971131739549,1.0,1.4567217025851407,27,False
rank_one_distractors,84,4.136534924935493,1.0,1.7262015177623122,27,False
rank_one_distractors,85,4.145141865835509,1.0,1.3412982444340407,27,False
rank_one_distractors,86,4.1242643935310985,1.0,1.4282965127080145,27,False
rank_one_distractors,87,4.121477857779975,1.0,1.4042343979330194,27,False
rank_one_distractors,88,4.122410589905745,1.0,1.3119685883470782,27,False
rank_one_distractors,89,4.111422591407891,1.0,1.5457149670059311,27,False
