n,r,s,eta,exact_probability,proved_bound,ratio
4,1,16,0.1,0.0213798239751173,0.6703200460356393,0.03189494943730294
10,1,16,0.1,0.03730063187076666,0.6703200460356393,0.055646003862434804
100,1,16,0.1,0.0007093594556473326,0.6703200460356393,0.001058239955440058
2,1,16,0.2,0.0009915903794470028,0.44932896411722156,0.002206824973758681
4,1,16,0.2,0.004633900986356273,0.44932896411722156,0.010312936303717503
5,1,16,0.2,0.0050435936243469525,0.44932896411722156,0.011224724037667807
50,1,16,0.2,1.5787724296095235e-06,0.44932896411722156,3.513622658871488e-06
2,1,16,0.4,4.318292309454507e-05,0.20189651799465538,0.0002138864182674424
3,1,16,0.4,6.564413031242063e-05,0.20189651799465538,0.0003251375059086376
4,1,16,0.4,4.32276084275715e-05,0.20189651799465538,0.0002141077461708172
25,1,16,0.4,5.356605212527353e-13,0.20189651799465538,2.653143930233187e-12
2,1,16,0.8,1.9638239935243075e-11,0.04076220397836621,4.817757142294296e-10
4,1,16,0.8,2.305880419093646e-16,0.04076220397836621,5.656908101233803e-15
13,1,16,0.8,1.5833493132902515e-41,0.04076220397836621,3.884356484086545e-40
2,1,32,0.03,0.0001641658686009791,0.7866278610665535,0.00020869572097077002
4,1,32,0.03,0.008790601193796047,0.7866278610665535,0.01117504429842755
34,1,32,0.03,0.08404808842933648,0.7866278610665535,0.10684606100193227
334,1,32,0.03,0.007597193338634487,0.7866278610665535,0.009657925576566527
2,1,32,0.05,0.00011414306852373937,0.6703200460356393,0.00017028144868827427
4,1,32,0.05,0.005799851167640578,0.6703200460356393,0.008652361214529773
20,1,32,0.05,0.037091266809729025,0.6703200460356393,0.055333667893555684
200,1,32,0.05,0.0008174505193525283,0.6703200460356393,0.0012194928738697849
2,1,32,0.1,4.3227608427571506e-05,0.44932896411722156,9.620481179640632e-05
4,1,32,0.1,0.001817373052905108,0.44932896411722156,0.004044638111579625
