k,m,sparsity,repetition,master_seed,d_squared_over_log_k,sigma_min_estimate,smallest_Gram_eigenvalue_raw,eigenpair_residual,max_row_occupancy,method
2000,20,1,0,20260912,0.1315633249239519,1.0,1.0,0.0,1,dense_Gram_eigh
2000,20,1,1,20260912,0.1315633249239519,1.0,1.0,0.0,1,dense_Gram_eigh
2000,20,1,2,20260912,0.1315633249239519,1.0,1.0,0.0,1,dense_Gram_eigh
2000,20,2,0,20260912,0.5262532996958076,0.9999999999999999,0.9999999999999998,0.0,1,dense_Gram_eigh
2000,20,2,1,20260912,0.5262532996958076,0.7071067811865475,0.4999999999999999,0.0,2,dense_Gram_eigh
2000,20,2,2,20260912,0.5262532996958076,0.7071067811865475,0.4999999999999999,0.0,2,dense_Gram_eigh
2000,20,4,0,20260912,2.1050131987832303,0.8660254037844386,0.7499999999999999,1.5700924586837752e-16,2,dense_Gram_eigh
2000,20,4,1,20260912,2.1050131987832303,0.8660254037844386,0.7499999999999999,1.5700924586837752e-16,2,dense_Gram_eigh
2000,20,4,2,20260912,2.1050131987832303,0.8660254037844386,0.7499999999999999,1.5700924586837752e-16,2,dense_Gram_eigh
2000,20,8,0,20260912,8.420052795132921,0.9073165405212026,0.8232233047033631,1.3597399555105182e-16,2,dense_Gram_eigh
2000,20,8,1,20260912,8.420052795132921,0.9073165405212026,0.8232233047033631,1.3597399555105182e-16,2,dense_Gram_eigh
2000,20,8,2,20260912,8.420052795132921,0.9073165405212026,0.8232233047033631,1.3597399555105182e-16,2,dense_Gram_eigh
2000,20,16,0,20260912,33.680211180531685,0.8969114658793063,0.8044501776257659,4.956211530437735e-16,2,dense_Gram_eigh
2000,20,16,1,20260912,33.680211180531685,0.9114068321234007,0.8306624136412127,3.142962783009633e-16,2,dense_Gram_eigh
2000,20,16,2,20260912,33.680211180531685,0.9024382710013584,0.8143948329679211,1.74254961083349e-16,3,dense_Gram_eigh
10000,100,1,0,20260912,0.10857362047581294,1.1542389828577085e-08,1.3322676295483976e-16,1.3322676295483976e-16,2,dense_Gram_eigh
10000,100,1,1,20260912,0.10857362047581294,1.0,1.0,0.0,1,dense_Gram_eigh
10000,100,1,2,20260912,0.10857362047581294,1.0,1.0,0.0,1,dense_Gram_eigh
10000,100,2,0,20260912,0.43429448190325176,0.7071067811865475,0.4999999999999999,0.0,2,dense_Gram_eigh
