b,t,m,case,seed,delta,raw_krylov_condition,f,descent_norm,deterministic_alpha,derivative_relative_error,finite_difference_relative_error,moment_relative_residual,translation_relative_residual,log10_interpolation_bound_margin
1,1,1,geometric,11,1.0,1.0,1.4089777698488228,1.0,0.00390625,0.0,5.5990767577895895e-12,0.0,0.0,13.915128488567527
1,1,1,geometric,29,1.0,1.0,1.8072790478029621,0.9999999999999999,0.00390625,1.1102230246251565e-16,1.71913594471107e-11,0.0,0.0,14.023249561234435
1,1,1,repeated,11,1.0,1.0,1.4089777698488228,1.0,0.00390625,0.0,5.5990767577895895e-12,0.0,0.0,13.915128488567527
1,1,1,repeated,29,1.0,1.0,1.8072790478029621,0.9999999999999999,0.00390625,1.1102230246251565e-16,1.71913594471107e-11,0.0,0.0,14.023249561234435
1,1,1,wide_bands,11,1.0,1.0,1.4089777698488228,1.0,0.00390625,0.0,5.5990767577895895e-12,0.0,0.0,13.915128488567527
1,1,1,wide_bands,29,1.0,1.0,1.8072790478029621,0.9999999999999999,0.00390625,1.1102230246251565e-16,1.71913594471107e-11,0.0,0.0,14.023249561234435
1,2,2,geometric,11,0.8646647167633873,3.3474751247011296,0.3883690784586919,0.8462342532234578,1.973556682413487e-06,2.220446049250313e-16,3.923838332031693e-07,3.581192863624768e-17,2.628280361662536e-16,18.431517933581826
1,2,2,geometric,29,0.8646647167633873,3.1218090352388503,1.721906014506811,0.7930819354776211,1.396152211613034e-06,2.220446049250313e-16,4.775184813121669e-07,2.5463898112023604e-17,1.4752290795525882e-16,19.078282732040893
1,2,2,repeated,11,0.8646647167633873,3.3474751247011296,0.3883690784586919,0.8462342532234578,1.973556682413487e-06,2.220446049250313e-16,3.923838332031693e-07,3.581192863624768e-17,2.628280361662536e-16,18.431517933581826
1,2,2,repeated,29,0.8646647167633873,3.1218090352388503,1.721906014506811,0.7930819354776211,1.396152211613034e-06,2.220446049250313e-16,4.775184813121669e-07,2.5463898112023604e-17,1.4752290795525882e-16,19.078282732040893
1,2,2,wide_bands,11,0.5034146962085905,6.512993423503932,0.2082910828187963,0.39089727976113225,6.689688697816016e-07,1.1102230246251565e-16,1.4470985796322111e-06,3.6592752774399464e-17,2.1862890510709072e-16,18.63078766249554
1,2,2,wide_bands,29,0.5034146962085905,6.611494675592592,0.756856211733766,0.37673224545974443,4.7324831121834126e-07,0.0,1.797999257868721e-06,1.0695195420162924e-16,5.519903389605708e-16,19.1911303644528
1,3,3,geometric,11,0.6321205588285577,1250.4945530377713,0.039184913828174135,1.0758581521844395,2.1338689356612335e-11,6.191650947874171e-16,9.560866750936432e-07,1.021358769099955e-17,1.3129612638989138e-14,21.856922438274424
1,3,3,geometric,29,0.6321205588285577,37.675953096540646,0.3750293879572383,0.5214696986142827,4.5934346010548506e-10,1.1102230246251565e-16,8.189847633399694e-07,6.23146008904448e-17,8.857115758815727e-16,22.83786884336416
1,3,3,repeated,11,0.6321205588285577,1250.4945530377713,0.039184913828174135,1.0758581521844395,2.1338689356612335e-11,6.191650947874171e-16,9.560866750936432e-07,1.021358769099955e-17,1.3129612638989138e-14,21.856922438274424
1,3,3,repeated,29,0.6321205588285577,37.675953096540646,0.3750293879572383,0.5214696986142827,4.5934346010548506e-10,1.1102230246251565e-16,8.189847633399694e-07,6.23146008904448e-17,8.857115758815727e-16,22.83786884336416
1,3,3,wide_bands,11,0.5034146962085905,1559.0059305845286,0.018442830099543023,0.50810539179075,1.077818576039157e-11,4.440892098500626e-16,2.2309148151045122e-07,5.920545636643325e-17,3.71549845144226e-14,21.82625318444977
1,3,3,wide_bands,29,0.5034146962085905,46.74873413289569,0.25515076054152447,0.3411226342223027,2.3201467803849792e-10,1.1102230246251565e-16,1.1758913858739284e-06,9.137334975629811e-17,1.3717110797751643e-15,22.967222486212066
1,4,4,geometric,11,0.486582880967408,306.27749918068224,0.24637030983909938,0.16150705914589797,2.8572696007980993e-13,1.1102230246251565e-16,5.175121434719543e-07,1.1571984274649045e-16,1.0398647436829678e-14,26.85017870065203
1,4,4,geometric,29,0.486582880967408,5541.890098734104,0.006983185013071118,0.3087029237270548,9.702215823292078e-15,2.220446049250313e-15,1.1238990016426698e-07,8.447082876287341e-17,5.716416825367649e-15,25.302643879393035
1,4,4,repeated,11,0.486582880967408,306.27749918068224,0.24637030983909938,0.16150705914589797,2.8572696007980993e-13,1.1102230246251565e-16,5.175121434719543e-07,1.1571984274649045e-16,1.0398647436829678e-14,26.85017870065203
1,4,4,repeated,29,0.486582880967408,5541.890098734104,0.006983185013071118,0.3087029237270548,9.702215823292078e-15,2.220446049250313e-15,1.1238990016426698e-07,8.447082876287341e-17,5.716416825367649e-15,25.302643879393035
1,4,4,wide_bands,11,0.5034146962085904,302.1286445060401,0.2707463808514079,0.1816337327581141,3.273614064877166e-13,9.43689570931383e-16,6.487285609535487e-07,7.49352041304104e-17,1.627006570849697e-14,26.832076733648965
1,4,4,wide_bands,29,0.5034146962085904,5557.250636235994,0.007502545453366228,0.33174331026535897,1.1115965455528276e-14,3.885780586188048e-16,1.0856267795844587e-07,1.514796807488559e-16,4.5073840952109015e-15,25.274722708889584
2,1,2,geometric,11,1.0,5.573564092301723,0.5744154236147322,0.9999999999999999,0.0002477890106103784,3.3306690738754696e-16,3.8906655674963986e-12,0.0,3.235122792434315e-17,15.933690405420014
2,1,2,geometric,29,1.0,1.6905040379482104,0.7627643709615743,1.0000000000000007,0.0008169563047487293,2.2204460492503116e-16,1.3454126701617487e-11,0.0,1.6700382519954806e-16,16.05685471157185
