case,n,b,k,m,q,seed,delta,basis_dimension,orthogonality_error,spectral_error,frobenius_error,right_energy_defect,spectral_ratio,frobenius_ratio,relative_right_energy_defect,all_criteria_at_epsilon_0_1
exact_clusters,72,4,24,24,6,101,0.22119921692859512,24,4.48734234062496e-15,0.783704561022341,2.828404967171422,0.23571854381031643,1.5433526456720885,1.289983097384432,0.9141539548127762,False
exact_clusters,72,4,24,24,8,101,0.22119921692859512,32,4.783621017302527e-15,0.6426720355486579,2.4118075140847313,0.1122343532375572,1.2656167077420042,1.0999807182581247,0.4352626493422138,False
exact_clusters,72,4,24,24,12,101,0.22119921692859512,48,5.839525584097739e-15,0.5349426428821152,2.1994682306723696,0.029124558909764398,1.053464767511282,1.0031367055753866,0.11294966564430967,False
exact_clusters,72,4,24,24,18,101,0.22119921692859512,72,6.650283209501817e-15,0.5077935773266254,2.192590719139105,2.6645352591003757e-15,1.0000000000000009,1.0,1.0333490973899734e-14,True
exact_clusters,72,4,24,24,6,202,0.22119921692859512,24,4.4061214983404035e-15,0.7756319626903524,2.8109293816429175,0.24441699524423235,1.527455244262468,1.282012806633878,0.9478879311496565,False
exact_clusters,72,4,24,24,8,202,0.22119921692859512,32,4.927566956489999e-15,0.6226933099670708,2.3990807994809447,0.13307378315997354,1.2262725205099227,1.094176299543453,0.5160812687502421,False
exact_clusters,72,4,24,24,12,202,0.22119921692859512,48,5.773439651858115e-15,0.52743751226344,2.198497434274238,0.021722939405993458,1.0386848826254051,1.0026939433263002,0.08424500952342176,True
exact_clusters,72,4,24,24,18,202,0.22119921692859512,72,6.840964568818445e-15,0.507793577326625,2.192590719139105,1.4432899320127035e-15,1.0,1.0,5.597307610862356e-15,True
exact_clusters,72,4,24,24,6,303,0.22119921692859512,24,3.1893962624686692e-15,0.8575356184699657,2.831893853215464,0.22959898833757253,1.688748453622875,1.2915743136627769,0.8904213466493442,False
exact_clusters,72,4,24,24,8,303,0.22119921692859512,32,3.609453328085417e-15,0.6866066417170794,2.4354677838070327,0.1317600964483044,1.3521373100696734,1.1107717288720853,0.510986583014258,False
exact_clusters,72,4,24,24,12,303,0.22119921692859512,48,4.865640094998513e-15,0.5230999782726664,2.197917817173888,0.018496276141433343,1.0301429589295414,1.0024295907066845,0.07173149685502372,True
exact_clusters,72,4,24,24,18,303,0.22119921692859512,72,6.038155830730323e-15,0.507793577326625,2.192590719139105,1.3322676295501878e-15,1.0,1.0,5.166745486949867e-15,True
wide_unaligned,64,4,19,20,5,101,0.30232367392896886,20,2.8797806594167603e-15,0.6947388058944168,2.4128664930504558,0.16240455644011878,1.6335910293713314,1.1790228756268104,0.89792853634803,False
wide_unaligned,64,4,19,20,7,101,0.30232367392896886,28,3.876678989129482e-15,0.5637705224692287,2.1336120838356925,0.07061307042120357,1.3256355630574714,1.0425680251275575,0.39041694617558553,False
wide_unaligned,64,4,19,20,10,101,0.30232367392896886,40,4.564274077106386e-15,0.42559083992933977,2.0476195957896683,0.0014943283202957791,1.0007233976172036,1.0005486631652016,0.008262083717837945,True
wide_unaligned,64,4,19,20,16,101,0.30232367392896886,64,5.567837075158149e-15,0.4252831910822741,2.0464967584006293,1.3322676295501878e-15,0.9999999999999999,1.0,7.366056401668436e-15,True
wide_unaligned,64,4,19,20,5,202,0.30232367392896886,20,3.4890318882778783e-15,0.6994864607985658,2.4170647303112855,0.16223866594577332,1.644754543480758,1.1810743019208403,0.89701133419529,False
wide_unaligned,64,4,19,20,7,202,0.30232367392896886,28,4.098566497597622e-15,0.5847494479406604,2.1309458765546685,0.04648323017114639,1.3749648709429863,1.041265209831086,0.2570039889717982,False
wide_unaligned,64,4,19,20,10,202,0.30232367392896886,40,4.7075323811962845e-15,0.4371109100429298,2.0503979855832983,0.01337614081264396,1.0278113953447257,1.001906295314984,0.07395616727238269,True
wide_unaligned,64,4,19,20,16,202,0.30232367392896886,64,5.725229254550345e-15,0.425283191082274,2.0464967584006293,1.6653345369377348e-15,0.9999999999999998,1.0,9.207570502085544e-15,True
wide_unaligned,64,4,19,20,5,303,0.30232367392896886,20,3.155328039703657e-15,0.7278685148758391,2.4127955481905055,0.16673204147605206,1.71149137830615,1.1789882091365465,0.9218550344066995,False
wide_unaligned,64,4,19,20,7,303,0.30232367392896886,28,3.7823170987559064e-15,0.5280452027306536,2.1194385974218415,0.05184994555669223,1.2416319614863391,1.0356422939453944,0.2866763515998532,False
wide_unaligned,64,4,19,20,10,303,0.30232367392896886,40,4.970670456938052e-15,0.42541340026497654,2.0474473400151068,0.0015548372841036606,1.000306170536322,1.000464492118336,0.008596635447782669,True
wide_unaligned,64,4,19,20,16,303,0.30232367392896886,64,5.946917378232398e-15,0.425283191082274,2.0464967584006293,1.5543122344752192e-15,0.9999999999999998,1.0,8.593732468613174e-15,True
mixed_multiplicities_boundary,42,3,10,12,4,101,0.30000000000000004,12,2.38109750375306e-15,0.6759534755095966,1.596368929751976,0.16396107609803626,1.6898836887739914,1.2308198934078605,1.0247567256127266,False
mixed_multiplicities_boundary,42,3,10,12,6,101,0.30000000000000004,18,3.0270353281144647e-15,0.4184092537015174,1.30570839622719,0.012189250265973894,1.0460231342537933,1.0067170809418025,0.07618281416233684,True
mixed_multiplicities_boundary,42,3,10,12,9,101,0.30000000000000004,27,3.6631676597941045e-15,0.4000000275095499,1.296999077080922,2.254326478323687e-06,1.0000000687738746,1.0000020897743596,1.4089540489523045e-05,True
mixed_multiplicities_boundary,42,3,10,12,14,101,0.30000000000000004,42,4.531575352135021e-15,0.3999999999999999,1.2969963666511706,8.881784197001252e-16,0.9999999999999998,1.0,5.551115123125783e-15,True
mixed_multiplicities_boundary,42,3,10,12,4,202,0.30000000000000004,12,2.175166934357206e-15,0.8001934081798537,1.6708912022696232,0.16253896655276542,2.000483520449634,1.288277473424112,1.0158685409547838,False
mixed_multiplicities_boundary,42,3,10,12,6,202,0.30000000000000004,18,3.0434165964707612e-15,0.4451740512249749,1.323983165472061,0.04602005002849671,1.112935128062437,1.020807150671185,0.28762531267810443,False
mixed_multiplicities_boundary,42,3,10,12,9,202,0.30000000000000004,27,3.297788384144245e-15,0.4000000001940034,1.2969977023941157,1.1287117176739248e-06,1.0000000004850085,1.000001029874084,7.05444823546203e-06,True
mixed_multiplicities_boundary,42,3,10,12,14,202,0.30000000000000004,42,4.192315631564842e-15,0.4,1.2969963666511706,1.4432899320127035e-15,1.0,1.0,9.020562075079397e-15,True
mixed_multiplicities_boundary,42,3,10,12,4,303,0.30000000000000004,12,2.5475258061639443e-15,0.7775744103821164,1.6560245073136115,0.23446232406742146,1.943936025955291,1.2768150704920225,1.465389525421384,False
mixed_multiplicities_boundary,42,3,10,12,6,303,0.30000000000000004,18,3.602886352912962e-15,0.40346186901970055,1.3081790869803154,0.0038485200151095467,1.0086546725492513,1.0086220136128974,0.024053250094434667,True
mixed_multiplicities_boundary,42,3,10,12,9,303,0.30000000000000004,27,3.958273535836722e-15,0.40000000002519115,1.2969964091596904,2.5979442486168125e-08,1.0000000000629778,1.0000000327745866,1.6237151553855078e-07,True
mixed_multiplicities_boundary,42,3,10,12,14,303,0.30000000000000004,42,4.434523376461682e-15,0.4,1.2969963666511706,1.3322676295501878e-15,1.0,1.0,8.326672684688674e-15,True
nonzero_width_clusters,45,3,14,15,5,101,0.29531191028128634,15,2.031186752487475e-15,0.6877355367641036,1.9808624908488066,0.18435122225282705,1.4438886066474406,1.2373893922572399,0.812588119964608,False
nonzero_width_clusters,45,3,14,15,7,101,0.29531191028128634,21,2.53544258206204e-15,0.5886357933681272,1.6855641594245647,0.09052702850944142,1.23583044655237,1.0529247842676943,0.3990273945761236,False
nonzero_width_clusters,45,3,14,15,10,101,0.29531191028128634,30,3.080436580264138e-15,0.4768769690960164,1.6023449114313,0.0008279361130406337,1.0011947698530517,1.0009400477328705,0.0036493983675563984,True
nonzero_width_clusters,45,3,14,15,15,101,0.29531191028128634,45,4.177988829007644e-15,0.47630789078733304,1.6008400453759564,9.992007221626409e-16,1.0,1.0000000000000002,4.404302973244691e-15,True
nonzero_width_clusters,45,3,14,15,5,202,0.29531191028128634,15,1.842698371211877e-15,0.7729591012768858,2.0270245539732863,0.1772431733805278,1.6228139743794519,1.2662255419136776,0.7812570769740883,False
nonzero_width_clusters,45,3,14,15,7,202,0.29531191028128634,21,2.367332244017387e-15,0.5566078810119676,1.6874741358575462,0.08182688577428004,1.1685884105171958,1.0541178931223227,0.3606786787813732,False
nonzero_width_clusters,45,3,14,15,10,202,0.29531191028128634,30,2.9507053422004287e-15,0.4810009095972587,1.6036353918054644,0.006595161174924258,1.0098529100623719,1.0017461747271894,0.029070323236834925,True
nonzero_width_clusters,45,3,14,15,15,202,0.29531191028128634,45,3.952632665661558e-15,0.476307890787333,1.6008400453759564,1.3322676295501878e-15,0.9999999999999999,1.0000000000000002,5.872403964326255e-15,True
nonzero_width_clusters,45,3,14,15,5,303,0.29531191028128634,15,2.674918547470085e-15,0.7009934424479362,1.9883381019954347,0.1817256434310422,1.4717233453537788,1.2420591974437238,0.8010150252352058,False
